General Admin
sv_report_admin
uma_authorization
sv_analytics_admin
sv_console_container_marketplace
sv_network_operator
sv_schedule_manager
sv_remote_access
sv_home_console_admin
gf_viewer
sv_acs_admin
sv_deviceassociation
sv_deviceprovisioning
sv_console
sv_campaign_manager
offline_access
