General Admin
gf_viewer
L2_Roles
sv_acs_admin
sv_advanced_care_agent
sv_analytics_admin
sv_campaign_manager
sv_console
sv_console_container_marketplace
sv_deviceassociation
sv_deviceprovisioning
sv_fmc_cpe_browser_agent
sv_fmc_radio_planner_agent
sv_home_console_admin
sv_network_operator
sv_report_admin
sv_schedule_manager
